index,score,background,lung_L,lung_R,infection
coronacases_001,DSC,0.9989167189227449,0.9514386800132705,0.935569149887468,0.6291268220690213
coronacases_001,IoU,0.9978357823015697,0.9073753359749259,0.8789384014833459,0.4589241603067507
coronacases_001,Sens,0.9989735883454621,0.9726244491240258,0.9786939085869185,0.47706614706058204
coronacases_001,Spec,0.9833339567366046,0.9980599748473657,0.9965499944964294,0.9996704793186668
coronacases_001,Prec,0.9988598559745675,0.9311561755391204,0.8960844593770724,0.9234770944680699
coronacases_001,Acc,0.9979720638439901,0.9973917862901656,0.9960232224575308,0.9953502515621756
coronacases_002,DSC,0.9976269726903578,0.9746728436086675,0.9723960113391868,0.8088044233140524
coronacases_002,IoU,0.9952651812349514,0.9505969265839556,0.9462750457074676,0.678985415278527
coronacases_002,Sens,0.9972204214072811,0.9734102686067443,0.9662703510153378,0.9377727463618603
coronacases_002,Spec,0.9863678377581139,0.9985563959885554,0.9985552709623973,0.9979988674136777
coronacases_002,Prec,0.9980338555979249,0.9759386981444433,0.9785998342874133,0.711020478231496
coronacases_002,Acc,0.995853443145752,0.9971296119689942,0.9964891624450684,0.9976843070983886
coronacases_003,DSC,0.9978762293515289,0.9197886828586841,0.9490495497660233,0.8900930756829969
coronacases_003,IoU,0.9957614603890758,0.8514895819577449,0.9030392912955442,0.8019528990962266
coronacases_003,Sens,0.9985071337125223,0.8964603042700077,0.94654821754515,0.8942973660838974
coronacases_003,Spec,0.9692152309675551,0.9987084503123261,0.9983029705932482,0.997130831652598
coronacases_003,Prec,0.997246121757944,0.9443636388122919,0.9515641369702592,0.8859281309141216
coronacases_003,Acc,0.9960991668701172,0.9962677001953125,0.9965420722961426,0.9946308326721192
coronacases_004,DSC,0.997829950799009,0.9771784521470986,0.9873073138163438,0.7402623876989385
coronacases_004,IoU,0.995669299431327,0.9553753088193964,0.9749327977641693,0.5876322025082356
coronacases_004,Sens,0.9971819015414517,0.9797469170244429,0.9924896431652663,0.7455710682231478
coronacases_004,Spec,0.9904572189509576,0.9982936266352638,0.9985879408561488,0.9994811339077109
coronacases_004,Prec,0.9984788429137144,0.9746234188253375,0.9821788228796863,0.7350287713616517
coronacases_004,Acc,0.9962583753797744,0.9971308107729311,0.99814453125,0.9989919026692708
coronacases_005,DSC,0.9978684188797723,0.9843618057899826,0.9829764565446261,0.8550023343311455
coronacases_005,IoU,0.9957459057066241,0.9692051868486865,0.966522813429597,0.746728451914959
coronacases_005,Sens,0.9971660778024776,0.9890976956683033,0.9863614444910864,0.8827255354499934
